Amount: 49062, Count: 2
Amount: 2628, Count: 2
Amount: 35812, Count: 2
Amount: 35110, Count: 2
Amount: 12720, Count: 2
Amount: 31626, Count: 2
Amount: 41320, Count: 2
Amount: 20706, Count: 2
Amount: 26106, Count: 2
Amount: 27495, Count: 2
Amount: 3570, Count: 2
Amount: 20100, Count: 2
Amount: 28, Count: 2
Amount: 46072, Count: 2
Amount: 47172, Count: 2
Amount: 1081, Count: 2
Amount: 31878, Count: 2
Amount: 5565, Count: 2
Amount: 42990, Count: 2
Amount: 46800, Count: 2
Amount: 21321, Count: 2
Amount: 10296, Count: 2
Amount: 37380, Count: 2
Amount: 78, Count: 2
Amount: 35580, Count: 2
Amount: 48970, Count: 2
Amount: 7875, Count: 2
Amount: 4753, Count: 2
Amount: 44322, Count: 2
Amount: 6555, Count: 2
Amount: 861, Count: 2
Amount: 1128, Count: 2
Amount: 47820, Count: 2
Amount: 171, Count: 2
Amount: 44182, Count: 2
Amount: 13203, Count: 2
Amount: 1830, Count: 2
Amount: 4560, Count: 2
Amount: 8001, Count: 2
Amount: 43300, Count: 2
Amount: 38440, Count: 2
Amount: 630, Count: 2
Amount: 16290, Count: 2
Amount: 11026, Count: 2
Amount: 4186, Count: 2
Amount: 8911, Count: 2
Amount: 49042, Count: 2
Amount: 15, Count: 2
Amount: 32640, Count: 2
Amount: 33652, Count: 2
Amount: 3160, Count: 2
Amount: 24753, Count: 2
Amount: 49122, Count: 2
Amount: 21736, Count: 2
Amount: 42832, Count: 2
Amount: 276, Count: 2
Amount: 49132, Count: 2
Amount: 40410, Count: 2
Amount: 39646, Count: 2
Amount: 2278, Count: 2
Amount: 43750, Count: 2
Amount: 406, Count: 2
Amount: 6328, Count: 2
Amount: 40780, Count: 2
Amount: 1653, Count: 2
Amount: 42346, Count: 2
Amount: 24310, Count: 2
Amount: 39450, Count: 2
Amount: 45, Count: 2
Amount: 13530, Count: 2
Amount: 48340, Count: 2
Amount: 47592, Count: 2
Amount: 3916, Count: 2
Amount: 253, Count: 2
Amount: 16836, Count: 2
Amount: 26335, Count: 2
Amount: 43146, Count: 2
Amount: 45846, Count: 2
Amount: 27028, Count: 2
Amount: 44596, Count: 2
Amount: 43896, Count: 2
Amount: 49146, Count: 2
Amount: 34632, Count: 2
Amount: 14196, Count: 2
Amount: 23220, Count: 2
Amount: 20503, Count: 2
Amount: 17766, Count: 2
Amount: 780, Count: 2
Amount: 29403, Count: 2
Amount: 15400, Count: 2
Amount: 3486, Count: 2
Amount: 8385, Count: 2
Amount: 3321, Count: 2
Amount: 24976, Count: 2
Amount: 7503, Count: 2
Amount: 1378, Count: 2
Amount: 9591, Count: 2
Amount: 21945, Count: 2
Amount: 13366, Count: 2
Amount: 40596, Count: 2
Amount: 8778, Count: 2
Amount: 46990, Count: 2
Amount: 20910, Count: 2
Amount: 48732, Count: 2
Amount: 48096, Count: 2
Amount: 28920, Count: 2
Amount: 48810, Count: 2
Amount: 12403, Count: 2
Amount: 55, Count: 2
Amount: 44992, Count: 2
Amount: 561, Count: 2
Amount: 25878, Count: 2
Amount: 11781, Count: 2
Amount: 47082, Count: 2
Amount: 48502, Count: 2
Amount: 231, Count: 2
Amount: 49150, Count: 2
Amount: 48880, Count: 2
Amount: 34390, Count: 2
Amount: 48030, Count: 2
Amount: 40222, Count: 2
Amount: 41670, Count: 2
Amount: 31375, Count: 2
Amount: 19701, Count: 2
Amount: 946, Count: 2
Amount: 435, Count: 2
Amount: 31125, Count: 2
Amount: 2775, Count: 2
Amount: 6441, Count: 2
Amount: 34872, Count: 2
Amount: 43452, Count: 2
Amount: 5995, Count: 2
Amount: 42180, Count: 2
Amount: 3741, Count: 2
Amount: 33900, Count: 2
Amount: 49080, Count: 2
Amount: 2485, Count: 2
Amount: 48846, Count: 2
Amount: 36496, Count: 2
Amount: 14535, Count: 2
Amount: 47512, Count: 2
Amount: 136, Count: 2
Amount: 11476, Count: 2
Amount: 27261, Count: 2
Amount: 6, Count: 2
Amount: 41496, Count: 2
Amount: 5886, Count: 2
Amount: 18336, Count: 2
Amount: 32131, Count: 2
Amount: 496, Count: 2
Amount: 49020, Count: 2
Amount: 45246, Count: 2
Amount: 1540, Count: 2
